VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
0.0850000000000002,-2.9250000000000004e-06,4.175e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.2499999999999997e-06,7.1e-06,3.535533905932737e-08,3.535533905932737e-08,0.1760563380281689,0.0050562101139217,4.188891402714957e-06,-2.9350452488687967e-06,1.2538461538461613e-06,0.17466950929312666
0.0900000000000002,-2.85e-06,4e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.15e-06,6.85e-06,3.535533905932737e-08,3.535533905932737e-08,0.1678832116788321,0.0052335938794868,4.054162895927626e-06,-2.860837104072416e-06,1.1933257918552108e-06,0.1720446487051446
0.0950000000000002,-2.7750000000000005e-06,3.900000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.1250000000000002e-06,6.675000000000001e-06,3.535533905932737e-08,3.535533905932737e-08,0.1685393258426966,0.0053713806794121,3.9092307692307935e-06,-2.7795022624434562e-06,1.129728506787337e-06,0.1685410914041497
0.1000000000000002,-2.7e-06,3.775e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.075e-06,6.475e-06,3.535533905932737e-08,3.535533905932737e-08,0.166023166023166,0.0055350252819577,3.7617647058823757e-06,-2.696606334841646e-06,1.0651583710407305e-06,0.16473453326413048
0.1050000000000002,-2.6500000000000005e-06,3.625e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,9.749999999999996e-07,6.275e-06,3.535533905932737e-08,3.535533905932737e-08,0.1553784860557768,0.0057019245371378,3.607375565610882e-06,-2.6156334841629123e-06,9.917420814479697e-07,0.15913530096346962
0.1100000000000002,-2.55e-06,3.525000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,9.750000000000008e-07,6.075000000000001e-06,3.535533905932737e-08,3.535533905932737e-08,0.1604938271604939,0.0058942864450635,3.481063348416311e-06,-2.5596380090497896e-06,9.214253393665216e-07,0.1521810539581111
0.1150000000000002,-2.5250000000000004e-06,3.35e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,8.249999999999997e-07,5.8750000000000005e-06,3.535533905932737e-08,3.535533905932737e-08,0.1404255319148935,0.0060769751654999,3.3551357466063555e-06,-2.498461538461554e-06,8.566742081448016e-07,0.14570078097825367
0.1200000000000002,-2.425e-06,3.225e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,8e-07,5.65e-06,3.535533905932737e-08,3.535533905932737e-08,0.1415929203539823,0.0063199985870346,3.220022624434409e-06,-2.4403167420814627e-06,7.797058823529459e-07,0.13723301812635644
0.1250000000000002,-2.375e-06,3.075e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,7.000000000000001e-07,5.45e-06,3.535533905932737e-08,3.535533905932737e-08,0.128440366972477,0.0065405088770042,3.0957239819004713e-06,-2.3806108597285214e-06,7.151131221719499e-07,0.13006943839437018
0.1300000000000002,-2.3000000000000004e-06,2.95e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,6.499999999999997e-07,5.2500000000000006e-06,3.535533905932737e-08,3.535533905932737e-08,0.1238095238095237,0.0067857687489408,2.9728054298642716e-06,-2.322760180995489e-06,6.500452488687822e-07,0.12255600548171205
0.1350000000000003,-2.275e-06,2.825e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,5.500000000000002e-07,5.1e-06,3.535533905932737e-08,3.535533905932737e-08,0.107843137254902,0.0069726154020313,2.8585972850678904e-06,-2.2681900452488828e-06,5.904072398190081e-07,0.11516752296036785
0.1400000000000003,-2.2250000000000003e-06,2.75e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,5.249999999999996e-07,4.975000000000001e-06,3.535533905932737e-08,3.535533905932737e-08,0.1055276381909546,0.0071460611080492,2.748144796380107e-06,-2.2130995475113256e-06,5.350452488687815e-07,0.10783732374389926
