angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
240.0,-3.817893944668866e-06,3.795371375153397e-06,-4.201755835454806e-05,6.897191933695427e-06,-3.816880061953355e-06,3.795157580907584e-06,2.329708646859128e-09,1.290407764206135e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-2.17224810457714e-08,2.663211327922301e-09,7.61203764286094e-06,2.663211327922301e-09,-0.0028537012118094,0.0003498698110716,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
255.0,-3.787888078881915e-06,3.7780745091274806e-06,-4.048560042072989e-05,7.26570075929899e-06,-3.787456607112005e-06,3.7783745639799217e-06,1.5813838108273316e-09,1.5266209369090044e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-9.082043132083168e-09,2.198032356940111e-09,7.565831171091927e-06,2.198032356940111e-09,-0.0012004025634069,0.0002905211457775,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
270.0,-3.768770816342719e-06,3.7757822784145983e-06,-3.677327085003439e-05,1.0995651709849204e-05,-3.7687614210839418e-06,3.775899356814229e-06,2.670704838838192e-09,1.797728858501018e-09,23,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,7.137935730287213e-09,3.2193933255942964e-09,7.54466077789817e-06,3.2193933255942964e-09,0.0009460910093131,0.0004267116655324,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
285.0,-3.764001668319497e-06,3.788490588228711e-06,-4.262788914539302e-05,4.570242856657712e-06,-3.765089719005514e-06,3.788329016248278e-06,1.5284953482663455e-09,1.689485238916857e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,2.3239297242764072e-08,2.278301648638697e-09,7.553418735253792e-06,2.278301648638697e-09,0.0030766594647136,0.0003016266556217,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
300.0,-3.7758068978667056e-06,3.812871766254376e-06,-4.067234860919813e-05,7.590557092833904e-06,-3.775545092613928e-06,3.81322450927713e-06,1.646339742916047e-09,1.543565435016545e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,3.767941666320218e-08,2.256773980992047e-09,7.588769601891058e-06,2.256773980992047e-09,0.0049651549117807,0.0002973870491621,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
315.0,-3.7961926974869858e-06,3.8396347842366725e-06,-5.123989245253673e-05,-2.290002411944404e-06,-3.79687039890983e-06,3.840331866118179e-06,2.712997641786491e-09,1.079244911246796e-09,21,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.346146720834953e-08,2.919781803969462e-09,7.63720226502801e-06,2.919781803969462e-09,0.0056907576492201,0.000382316584061,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
330.0,-3.825421308376508e-06,3.868719313507605e-06,-5.4953815510789554e-05,-5.330716014900137e-06,-3.823969397095891e-06,3.869274851419097e-06,1.849770552352326e-09,1.4141109524889264e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.530545432320649e-08,2.328381601520457e-09,7.693244248514987e-06,2.328381601520457e-09,0.0058889920636474,0.0003026580075137,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
345.0,-3.847871732857834e-06,3.8911022438725774e-06,-4.700678439934795e-05,3.2179766237883026e-06,-3.84679817966144e-06,3.890358429367552e-06,2.570548500179722e-09,1.2281614035697704e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.3560249706112087e-08,2.848876976107372e-09,7.737156609028992e-06,2.848876976107372e-09,0.0056300074959422,0.0003682130619961,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
360.0,-3.8583572756470005e-06,3.900299828080402e-06,-5.446034954917722e-05,-3.2573671877101546e-06,-3.859140148469401e-06,3.899953873169966e-06,1.5513796783443983e-09,1.6559318820692123e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.0813724700565614e-08,2.2691164149142404e-09,7.759094021639366e-06,2.2691164149142404e-09,0.0052601147230256,0.0002924500979419,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
0.0,-8.366921398886458e-07,8.308073438786559e-07,-5.807896853420255e-05,-2.404399135697002e-05,-8.366505751616513e-07,8.311475209233005e-07,3.9958045083009205e-10,4.796350303029088e-10,19,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-5.503054238350787e-09,6.242710140469856e-10,1.6677980960849515e-06,6.242710140469856e-10,-0.0032995925893361,0.0003743105438359,Wsc=0.9um-NNE_diode-angle_20mT_-5.4V/data.csv
15.0,-8.385010787757727e-07,8.304467648463574e-07,-6.659907259067424e-05,-3.102949766883989e-05,-8.368233340067121e-07,8.299665611015096e-07,9.890233639635003e-10,5.41821069561095e-10,17,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-6.856772905202498e-09,1.1277132995074622e-09,1.6667898951082215e-06,1.1277132995074622e-09,-0.004113759583812,0.0006765836803624,Wsc=0.9um-NNE_diode-angle_20mT_-5.4V/data.csv
