field,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
0.05,-3.140869425719415e-07,3.24951083455575e-07,-3.986604666638871e-05,-2.169692749650119e-05,-3.135802039525983e-07,3.2496078935395725e-07,4.4254577307079854e-10,2.1065536592041688e-10,25,27,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,1.1380585401358932e-08,4.9012492739494e-10,6.385409933065556e-07,4.9012492739494e-10,0.0178227952796372,0.0007676919272873,diode-lowfield_-5.8V/data.csv
-0.05,-1.5561792698201071e-06,1.5478769605826264e-06,-5.166635922896037e-05,-1.4272657817574389e-05,-1.5560266610940512e-06,1.5461939513057743e-06,7.564194709354015e-10,1.512608793772747e-09,19,21,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-9.832709788276877e-09,1.6911995089311127e-09,3.1022206123998253e-06,1.6911995089311127e-09,-0.0031695714189296,0.0005451604560938,diode-lowfield_-4.8V/data.csv
-0.045,-1.5688438439992111e-06,1.5683962912297895e-06,-4.478434955572448e-05,-6.861505847561043e-06,-1.568497817049813e-06,1.568635664838745e-06,6.688542659277719e-10,9.480961497507395e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,1.3784778893196484e-10,1.160281146197746e-09,3.137133481888558e-06,1.160281146197746e-09,4.394068334286506e-05,0.000369853930034,diode-lowfield_-4.8V/data.csv
-0.04,-1.5938666585994758e-06,1.5968374313555368e-06,-4.252998963127648e-05,-4.997979920244033e-06,-1.593946301186397e-06,1.596814596105314e-06,7.409099899632854e-10,7.096785700264643e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,2.868294918917011e-09,1.0259587155349886e-09,3.190760897291712e-06,1.0259587155349886e-09,0.0008989375923942,0.0003215405864283,diode-lowfield_-4.8V/data.csv
-0.035,-1.6181588634437502e-06,1.6234639729024166e-06,-3.7331619873437294e-05,-2.7062041901188256e-07,-1.6191118381593284e-06,1.6228364366198091e-06,9.838105403234947e-10,7.23141897157124e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,3.724598460480713e-09,1.2209903286576891e-09,3.2419482747791376e-06,1.2209903286576891e-09,0.0011488765843231,0.0003766226450802,diode-lowfield_-4.8V/data.csv
-0.03,-1.6411750811206753e-06,1.64270891446651e-06,-3.6050372299105534e-05,1.2894873370626557e-06,-1.6406678627954064e-06,1.6425814409670208e-06,6.463981062180941e-10,5.926543104197257e-10,21,19,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,1.913578171614438e-09,8.769661586295215e-10,3.283249303762427e-06,8.769661586295215e-10,0.0005828306030314,0.0002671031732416,diode-lowfield_-4.8V/data.csv
-0.025,-1.661448414408443e-06,1.6604839215382209e-06,-3.3782774732501536e-05,4.25194470417798e-06,-1.66107290639822e-06,1.6605450934300772e-06,1.0779210109031647e-09,4.327515641843266e-10,23,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-5.278129681429051e-10,1.161545359445976e-09,3.3216179998282973e-06,1.161545359445976e-09,-0.0001589023687161,0.0003496926420107,diode-lowfield_-4.8V/data.csv
-0.02,-1.6739392749285232e-06,1.6700346772198423e-06,-3.215424193831433e-05,5.999295422385673e-06,-1.673314135828662e-06,1.6697215630683857e-06,1.308243373282525e-09,5.284047337317772e-10,23,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-3.59257276027624e-09,1.4109260385887667e-09,3.3430356988970474e-06,1.4109260385887667e-09,-0.0010746438518324,0.0004220495921609,diode-lowfield_-4.8V/data.csv
-0.015,-1.6816271224555e-06,1.6740506004457491e-06,-2.952614275670848e-05,8.709635960296378e-06,-1.6818249171445415e-06,1.674504232454475e-06,1.1951098660760666e-09,6.918062526167228e-10,21,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-7.320684690066501e-09,1.380899519571191e-09,3.3563291495990167e-06,1.380899519571191e-09,-0.0021811581533775,0.0004114324736336,diode-lowfield_-4.8V/data.csv
-0.01,-1.6869879489740248e-06,1.6755639774716682e-06,-3.207538482826621e-05,6.905354532946557e-06,-1.686420610720086e-06,1.675031387307301e-06,1.184457679885384e-09,9.370379145012436e-10,23,17,-4.8,2024/06/Data_0619/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-080.hdf5,-1.1389223412784977e-08,1.510291378725412e-09,3.361451998027387e-06,1.510291378725412e-09,-0.0033881856469967,0.0004492999003138,diode-lowfield_-4.8V/data.csv
