field,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
-0.02,3.2813528924696533e-06,-3.235811083575699e-06,0.0001147531273568,7.440492421440012e-05,3.282619205735006e-06,-3.233642558185749e-06,1.286316754145167e-09,1.6717519133066375e-09,19,21,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,4.897664754925679e-08,2.1093518558170804e-09,6.516261763920755e-06,2.1093518558170804e-09,0.0075160650881815,0.0003237149628641,diode-lowfield_-3.75V/data.csv
-0.015,3.2934468178433128e-06,-3.2559118004711685e-06,0.0001181664776052,7.773107977003348e-05,3.2933802587060547e-06,-3.253528152106696e-06,9.822098038019171e-10,1.4711832199251587e-09,19,21,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,3.9852106599358766e-08,1.7689307971975494e-09,6.546908410812751e-06,1.7689307971975494e-09,0.0060871642153325,0.0002701983071233,diode-lowfield_-3.75V/data.csv
-0.01,3.3009986070547407e-06,-3.271234248782536e-06,0.0001160035641926,7.5224546300951e-05,3.2992483423212367e-06,-3.2708223643375866e-06,8.716940852841639e-10,1.52914859297107e-09,19,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,2.8425977983650165e-08,1.760155106149682e-09,6.570070706658823e-06,1.760155106149682e-09,0.0043265863112919,0.000267907555206,diode-lowfield_-3.75V/data.csv
-0.005,3.298364737448142e-06,-3.2809633276088948e-06,0.0001164727758041,7.567112243514324e-05,3.29825035545832e-06,-3.279253037878587e-06,1.5365139848255532e-09,1.590389306315546e-09,19,21,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,1.8997317579733125e-08,2.2113826831209804e-09,6.577503393336907e-06,2.2113826831209804e-09,0.0028882261921715,0.0003362053615743,diode-lowfield_-3.75V/data.csv
0.0,3.296045635123305e-06,-3.285900205824032e-06,0.0001158691280268,7.512970128428655e-05,3.294921659285498e-06,-3.2838556604466105e-06,1.3619923459849643e-09,2.04198201205178e-09,19,21,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,1.1065998838887345e-08,2.454529219232206e-09,6.578777319732108e-06,2.454529219232206e-09,0.0016820753007852,0.0003730986127562,diode-lowfield_-3.75V/data.csv
0.005,3.2909969247085496e-06,-3.2862505076317505e-06,0.0001048141983272,6.419866364589668e-05,3.288657345270321e-06,-3.2863831076932827e-06,1.695854082403656e-09,1.760530646873423e-09,21,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,2.274237577038228e-09,2.4444609277682674e-09,6.575040452963604e-06,2.4444609277682674e-09,0.000345889518598,0.0003717788645533,diode-lowfield_-3.75V/data.csv
0.01,3.281023557264759e-06,-3.286065016108497e-06,0.0001134481016822,7.243156290101178e-05,3.278751015574507e-06,-3.2869991311668485e-06,1.754757074213475e-09,1.2429290117052063e-09,19,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,-8.248115592341498e-09,2.1503592531576476e-09,6.565750146741356e-06,2.1503592531576476e-09,-0.0012562335465103,0.0003275118458459,diode-lowfield_-3.75V/data.csv
0.015,3.266072240621994e-06,-3.285884159497716e-06,0.000110242798497,6.927775608247851e-05,3.2655116327386963e-06,-3.2840447601757885e-06,1.6291500669217022e-09,2.690464247072126e-09,21,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,-1.85331274370922e-08,3.1452707046173884e-09,6.549556392914485e-06,3.1452707046173884e-09,-0.0028296767483583,0.0004802284472574,diode-lowfield_-3.75V/data.csv
0.02,3.2435872104024907e-06,-3.271214860817838e-06,0.0001151427075306,7.469718620020712e-05,3.243888461555153e-06,-3.272476479180956e-06,1.1787859404960304e-09,1.9069152715478118e-09,19,21,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,-2.8588017625802844e-08,2.2418434705334303e-09,6.516364940736108e-06,2.2418434705334303e-09,-0.0043871112016899,0.0003440361405343,diode-lowfield_-3.75V/data.csv
0.025,3.2128947099677232e-06,-3.2522557322987978e-06,0.0001155251862364,7.351890257355758e-05,3.2157887507805208e-06,-3.251003298168085e-06,2.5082748708512504e-09,2.6845164770361446e-09,19,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,-3.52145473875642e-08,3.673972175074603e-09,6.466792048948606e-06,3.673972175074603e-09,-0.0054454429833242,0.0005681374348723,diode-lowfield_-3.75V/data.csv
0.03,3.1811920163446462e-06,-3.222885792363915e-06,0.0001156359630615,7.470825362477254e-05,3.180608831700301e-06,-3.221937111907486e-06,1.787290254667395e-09,2.21101004589161e-09,19,21,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,-4.1328280207185134e-08,2.8430567840728513e-09,6.402545943607787e-06,2.8430567840728513e-09,-0.0064549759691215,0.0004440602283709,diode-lowfield_-3.75V/data.csv
0.035,3.14069680341186e-06,-3.182132082270214e-06,0.0001192062012238,7.820802484811061e-05,3.141022502069044e-06,-3.180376258755626e-06,2.169481750991571e-09,1.472833744204129e-09,19,21,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,-3.9353756686582e-08,2.622191889612926e-09,6.3213987608246695e-06,2.622191889612926e-09,-0.0062254823933062,0.0004148200108863,diode-lowfield_-3.75V/data.csv
0.04,3.097761972439016e-06,-3.1274837789201496e-06,0.0001123121904791,7.152001725138467e-05,3.0961889305877544e-06,-3.1269460857287866e-06,1.345988801247532e-09,1.1386383080966064e-09,21,17,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,-3.0757155141032146e-08,1.7630039846094703e-09,6.223135016316541e-06,1.7630039846094703e-09,-0.0049423891752933,0.0002833018265697,diode-lowfield_-3.75V/data.csv
0.045,3.045280607417436e-06,-3.061787543004223e-06,0.0001129561232281,7.216763065508695e-05,3.047101144828723e-06,-3.060859425531815e-06,1.816976983648376e-09,1.4246547065708946e-09,21,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,-1.3758280703092026e-08,2.3089058863588516e-09,6.107960570360538e-06,2.3089058863588516e-09,-0.0022525162932215,0.0003780168056508,diode-lowfield_-3.75V/data.csv
0.05,2.99217395678954e-06,-2.9816951550573573e-06,0.0001164648854712,7.45510866554565e-05,2.9932254212955745e-06,-2.980584456986059e-06,1.8627014421697907e-09,1.99492683115994e-09,19,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,1.2640964309515622e-08,2.729357016651222e-09,5.973809878281633e-06,2.729357016651222e-09,0.0021160640474135,0.0004568881807278,diode-lowfield_-3.75V/data.csv
-0.05,1.5749341371194832e-08,-1.678619591442911e-08,9.945872125091484e-05,9.071575775403691e-05,1.5700634563960292e-08,-1.6748524825810666e-08,5.015699853644143e-11,4.7495740824863015e-11,30,30,-6.75,2024/01/Data_0119/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-277.hdf5,-1.0478902618503742e-09,6.907655100457135e-11,3.2449159389770955e-08,6.907655100457135e-11,-0.0322932945431154,0.0021298721260154,diode-lowfield_-6.75V/data.csv
-0.045,1.5891489762177415e-08,-1.6872494050460296e-08,0.0001049368289859,9.389575816506416e-05,1.5832964842510693e-08,-1.681037480890747e-08,7.895392850156633e-11,4.59445667758693e-11,30,30,-6.75,2024/01/Data_0119/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-277.hdf5,-9.77409966396778e-10,9.134892469018319e-11,3.264333965141816e-08,9.134892469018319e-11,-0.029942094676404,0.0027996481050625,diode-lowfield_-6.75V/data.csv
