VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.225,1.3783656484291962e-06,-1.5087083402022452e-06,-8.31395062958062e-06,-3.560074627276985e-05,1.3727918721615446e-06,-1.500202800810757e-06,5.1834502655227585e-09,6.009540522035485e-09,43,43,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-050.hdf5,-1.274109286492123e-07,7.936166199188024e-09,2.872994672972301e-06,7.936166199188024e-09,-0.044347777546485,0.0027650474155973
-0.2,1.4881668741253409e-06,-1.6161496424007278e-06,6.498164996599645e-07,-3.830663166630911e-05,1.4785872891628566e-06,-1.607109133582528e-06,5.409318714083723e-09,5.9681392121307755e-09,37,45,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-050.hdf5,-1.2852184441967153e-07,8.054775888000195e-09,3.0856964227453846e-06,8.054775888000195e-09,-0.0416508388421839,0.0026126223833917
-0.175,1.6062151834095924e-06,-1.7122558923180217e-06,2.8801904733956407e-06,-3.206591496821709e-05,1.5920311357126257e-06,-1.7073723638504011e-06,6.171586350662348e-09,6.134909254950599e-09,37,45,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-050.hdf5,-1.1534122813777545e-07,8.702045141813522e-09,3.299403499563027e-06,8.702045141813522e-09,-0.0349582062797263,0.0026390712140839
-0.15,1.7081565309733949e-06,-1.8221849221535364e-06,-9.910305723264025e-06,-5.190172368769243e-05,1.7033609859198794e-06,-1.8140853073438976e-06,5.9843460044545e-09,5.823692924704627e-09,45,41,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-050.hdf5,-1.1072432142401821e-07,8.350317142617115e-09,3.5174462932637767e-06,8.350317142617115e-09,-0.0314786103873327,0.0023751473650144
-0.14,1.7583846319738202e-06,-1.8623183168948824e-06,-9.68001166496721e-07,-5.406667464854797e-05,1.7529657047945752e-06,-1.854325402054292e-06,5.409243669009441e-09,7.275559392652832e-09,41,37,2023/11/Data_1115/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-052.hdf5,-1.0135969725971685e-07,9.06607310508456e-09,3.607291106848868e-06,9.06607310508456e-09,-0.0280985632313603,0.0025142554607512
-0.13,1.808394623360634e-06,-1.9072672817873888e-06,-4.0946100738197375e-06,-5.563708225681613e-05,1.8006591224325276e-06,-1.8912741596764087e-06,5.794627320474265e-09,8.180851739046958e-09,41,39,2023/11/Data_1115/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-053.hdf5,-9.061503724388116e-08,1.0025170370594924e-08,3.691933282108937e-06,1.0025170370594924e-08,-0.0245440614225074,0.0027162434383015
-0.12,1.8481575966032648e-06,-1.946201542092048e-06,-3.674243425980983e-06,-5.46914587269372e-05,1.842531561941448e-06,-1.9337799666003e-06,5.937745907257503e-09,7.847492318652204e-09,41,39,2023/11/Data_1115/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-054.hdf5,-9.124840465885177e-08,9.840729757007787e-09,3.776311528541748e-06,9.840729757007787e-09,-0.0241633678707879,0.0026066711151074
-0.11,1.8981563305835128e-06,-1.9881439324398204e-06,3.827062356566753e-06,-5.5345949698217257e-05,1.8889210188696725e-06,-1.97154664939695e-06,6.124981364645735e-09,9.273413520235626e-09,39,37,2023/11/Data_1115/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-054.hdf5,-8.262563052727746e-08,1.1113577058469813e-08,3.860467668266623e-06,1.1113577058469813e-08,-0.0214030106265277,0.0028794755519751
-0.1,1.9381688659008305e-06,-2.0201434048677063e-06,6.09061367161932e-06,-5.381471499256256e-05,1.932481540315657e-06,-2.0072675163299665e-06,6.928718729828127e-09,7.300872687415821e-09,43,43,2023/11/Data_1115/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-054.hdf5,-7.478597601430944e-08,1.0065281180122362e-08,3.939749056645624e-06,1.0065281180122362e-08,-0.0189824211996851,0.0025552628594057
-0.09,1.984246126646917e-06,-2.0542554011635763e-06,1.295683913483694e-05,-5.1364242831097256e-05,1.974186644271842e-06,-2.041785729036844e-06,6.8677492695675994e-09,7.2379392830743e-09,35,41,2023/11/Data_1115/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-055.hdf5,-6.75990847650021e-08,9.977662306127445e-09,4.015972373308686e-06,9.977662306127445e-09,-0.0168325572193387,0.0024848467043072
