Vg increasing,gate 15 - Source voltage,ic+,ic-,datapath
1.0,-8.399999999999935,7.191000817117429e-10,-7.324995828889917e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-8.199999999999935,2.5222056645174937e-09,-2.5222125563337336e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-7.999999999999936,3.5546435084540736e-09,-3.5103077589421394e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-7.799999999999937,3.830104175064358e-09,-3.828419661203179e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-7.5999999999999375,4.252819659107419e-08,-4.236075143813548e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-7.399999999999938,1.1450251343145449e-07,-1.1391714163132602e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-7.199999999999939,1.6589693621820193e-07,-1.6598770784258516e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-6.99999999999994,2.692542217219062e-07,-2.828402501744509e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-6.79999999999994,4.6415639099162065e-07,-4.6506478788183045e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-6.599999999999941,6.850725919341038e-07,-6.914552719384207e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-6.399999999999942,9.264756214321625e-07,-9.619593818881712e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-6.1999999999999424,1.187084361470799e-06,-1.2170931796165677e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-5.999999999999943,1.4465321932822683e-06,-1.4688966332195691e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-5.799999999999944,1.7291000835288222e-06,-1.7871526265335265e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-5.599999999999945,2.0065083875111664e-06,-2.0603760106417852e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-5.399999999999945,2.3069725431457114e-06,-2.3657083538927674e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-5.199999999999946,2.5266112150640384e-06,-2.5671603678643777e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-4.999999999999947,2.7465197789479453e-06,-2.8264372784916913e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-4.799999999999947,2.9668459918877115e-06,-3.0346552844576133e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-4.599999999999948,3.1266503416517345e-06,-3.205295254034919e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-4.399999999999949,3.2862858494673716e-06,-3.3254957290928456e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-4.1999999999999496,3.3690072732919226e-06,-3.406210619162483e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-3.9999999999999503,3.488767297432378e-06,-3.5461627251913962e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-3.799999999999951,3.525871998819437e-06,-3.545428645063104e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-3.5999999999999517,3.5675525638019423e-06,-3.6252090965002873e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-3.3999999999999524,3.6060882440185413e-06,-3.6465512987318607e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-3.199999999999953,3.625836424515303e-06,-3.665885444966088e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-2.999999999999954,3.626108543445495e-06,-3.686619216939232e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-2.7999999999999545,3.666505205315074e-06,-3.7066062528997197e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-2.5999999999999552,3.7058386467720993e-06,-3.7254979063846436e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-2.399999999999956,3.666083702959054e-06,-3.7067321057468327e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-2.1999999999999567,3.725852262683887e-06,-3.765554507584438e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-1.9999999999999574,3.7457554283536056e-06,-3.7853248157348624e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-1.799999999999958,3.727055016424083e-06,-3.7854252556690396e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-1.5999999999999588,3.7540110823090177e-06,-3.7859802414705044e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
